,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9310,c505ef3f-3ec9-4d92-943f-dfba5c35d650,Tim Williams,https://play-lh.googleusercontent.com/a-/AD_cMMS2CESzi8D_rMzvh1DwyHDBuPdAq56W0OEhZdLHNk6m8jM,I'm learning!,5,0,5.115.4,2023-08-11 13:02:04,,,5.115.4
9311,0f8aded9-3cf0-4e38-a1fb-5f85c57f5ca6,Hawk eye,https://play-lh.googleusercontent.com/a/AAcHTtcNC_HF9a3viHIUO6tiGFJ9ulC2T-2KcGvUu_vd2Lf5=mo,"I cannot learn at my own pace, loosing hearts suck. Please bring back unlimited hearts.",2,0,5.115.4,2023-08-11 13:00:47,,,5.115.4
9312,81dea48b-3785-480e-8a1e-402192664c49,Bikash,https://play-lh.googleusercontent.com/a/AAcHTtdJ4LMB5f71Z3NwEfJpoBdGZ2KxhsXLDsxKVAwV7u5w=mo,Whhhyy This update is giving problems to me why this update because of greedyness 😭😭😭😭 I cant say anymore,2,0,5.115.4,2023-08-11 13:00:08,,,5.115.4
9313,abf2ca98-2ea8-4835-93f7-80ad904771ea,NABIL AHMED,https://play-lh.googleusercontent.com/a-/AD_cMMRyr8Rauw3vtxvRkQDmcCxYvSHpGPY4xIvCJTQvSiNsfw,amazing,5,0,5.115.4,2023-08-11 12:59:05,,,5.115.4
9314,e1062175-f8db-49a6-9882-24d553ea468e,Nelly,https://play-lh.googleusercontent.com/a/AAcHTtdiZd_x_bJWDFsX0P9xPzd_eKOsg7vgYxSjlLgXdHwy=mo,it's a five 🥳🥳like it's a great and fun language game it's interesting and very fun,5,0,5.113.3,2023-08-11 12:58:46,,,5.113.3
9315,01a4c57d-929f-4f45-adf0-51c09d19d003,Saran SD,https://play-lh.googleusercontent.com/a-/AD_cMMSqqHnlQDBVdKOMGTebb0_xGHq0eb14PAKS9c3Fu9dD5w,Good app. Nowadays app produce more adds... in between classes... But this is the best app for learning most languages. Thanks for that.,4,0,5.115.4,2023-08-11 12:58:09,,,5.115.4
9316,020648df-00e0-40c3-ade3-f84bf5fb208d,Shubham Ashok,https://play-lh.googleusercontent.com/a-/AD_cMMRjffeVX4Cj-wLnVON5VFcambee2v_fH3_09wdlubT-BQ,best app to learn a English,5,0,5.115.4,2023-08-11 12:57:35,,,5.115.4
9317,e1a42461-fcae-44a2-ac68-190c988175be,Manjula Tirumala,https://play-lh.googleusercontent.com/a/AAcHTtcrXpnnCkHSVixuCpqmWcoz55dMpejZgsZTophGwhWh=mo,It's very useful,5,0,5.108.3,2023-08-11 12:56:20,,,5.108.3
9318,8f14ab1b-96cd-4a56-ba96-b71291d73633,Monalisa Nayak,https://play-lh.googleusercontent.com/a-/AD_cMMSVzmLD1RG_qhCfrtvgedevNE7sor0x2Xdmpk3zS59gCA,Thank you,5,0,5.65.12,2023-08-11 12:56:16,,,5.65.12
9319,d3dc6124-3b61-4e3c-a9a2-ccedefc60983,Harrison Macmanus,https://play-lh.googleusercontent.com/a-/AD_cMMSwoK55UwjY3vGUX1vxKa0JMC-ae1pnQ1C5VlL72xvl,♥️♥️♥️,5,0,5.115.4,2023-08-11 12:55:43,,,5.115.4
9320,9ab2ca20-a0c1-4813-9f71-2e8e5eb548b1,Anuvanshu Dash,https://play-lh.googleusercontent.com/a/AAcHTtfzK1skqWs-eDS34OSxKmWnWGmDT1bzeDFt2bT1HYZF=mo,best app for learning every launguage,5,0,5.113.3,2023-08-11 12:55:14,,,5.113.3
9321,9febf403-9186-46e1-b9bd-ed23d4d06a8a,Shuvo Dutta,https://play-lh.googleusercontent.com/a-/AD_cMMQx9ig6NpQ97rXZVSs9Z6-gjTE3mRQtjBqXiOx9Azxt81E,wow,5,0,5.115.4,2023-08-11 12:54:20,,,5.115.4
9322,87e67241-bbe6-4983-8563-9451e609eb20,Ranganathan Sampatch,https://play-lh.googleusercontent.com/a-/AD_cMMR9jVJnBX8GPvfE8jf3a2HFAtXsgpJfTW8oFKfWlZeKOck,it is very nice 👍,3,0,5.115.4,2023-08-11 12:52:25,,,5.115.4
9323,71d2e172-9008-4d07-9f47-da2c01365baa,Solanki Rohit,https://play-lh.googleusercontent.com/a-/AD_cMMRqM6spp9iB1-y1fSgajn06tjvR2KL3Erw21ovrrOc81n0,it is very nice and muje etna shikhane ke liye thanks duolingo,5,0,5.114.3,2023-08-11 12:52:23,,,5.114.3
9324,2fa3bbd2-f10c-4c5f-b3d6-3fa4f473e952,Vaishali Karanjekar,https://play-lh.googleusercontent.com/a-/AD_cMMRkXBJQTsNErenJuQy5McX8osaM998vvsy3cQjtICPtWQY,These app is very good . These app help me to learn English spellings. You also download these app Thanks .,5,0,5.115.4,2023-08-11 12:51:48,,,5.115.4
9325,c2e68aac-60f6-44a9-968a-7e4f25d67dfe,Austin Harlow,https://play-lh.googleusercontent.com/a-/AD_cMMSDA05EWWvT9xqOKkIlSOTwsNrPxUg3oCj2B-GDN3D8Nhg,Thanks Duo😊,5,0,5.65.12,2023-08-11 12:51:24,,,5.65.12
9326,5dba2183-7483-42d9-8699-0017ec2fd152,anjali bhaskar,https://play-lh.googleusercontent.com/a-/AD_cMMRVi4Q4wxCE13Rmi9V_8D1gWEdrNFXDh4DOMyf6n0FwKQ,superb aap. I really enjoyed with learning,5,0,5.115.4,2023-08-11 12:50:40,,,5.115.4
9327,d8a5ca1c-0b9a-423d-87e7-4a735c86c96c,Neha Thakur,https://play-lh.googleusercontent.com/a-/AD_cMMSdzA8rrL1OqSSkhTDtGI-katwvS9Lw-U4eqO4BaB0phQ,good 😊,3,0,5.113.3,2023-08-11 12:50:29,,,5.113.3
9328,db88ea6f-31d1-41c5-b0fb-6e7a51056aab,xandrina mandin,https://play-lh.googleusercontent.com/a-/AD_cMMSJSN83ep1OcHn8YYrJ1pB4ig6St1m6ZDRw4WduPUXgpvM,I have a problem but the app glitched I had a 20 day streak and I tried answering levels it keeps restarting the level my streak is about to be broken so I don't like this app that much anymore 🖕😡,2,0,5.115.4,2023-08-11 12:50:28,,,5.115.4
9329,a45b1b36-68e7-423e-85af-f2ab3965f320,BiLLie WiLLie,https://play-lh.googleusercontent.com/a-/AD_cMMShfZdZF3h5P6H6pjxPyUz2s7YDE9Kp8_SJvL7CTdo9Ng,great app! I learn french. Merci beaucoup,5,0,5.115.4,2023-08-11 12:50:20,,,5.115.4
9330,aec13a02-a105-4f44-b1c8-dde2502eefb0,Radhika Lekhwar,https://play-lh.googleusercontent.com/a-/AD_cMMQrVMzOPRz6zFV0mnaRhRuJIzZPinREJkg5ttMCdCtuRA,I used this app for learning languages for over a year but now after the update It is so bad now it is not add free and it's asking to Do payments. I want old version back 😭,1,0,,2023-08-11 12:49:49,,,
9331,b1443a3c-7904-4abc-9f15-49d5f659ad43,Dieufete JOSIL,https://play-lh.googleusercontent.com/a-/AD_cMMSMGSBlVn9728Ji50yoUjeJXoahGInJcFIyMRbUVq_cSg,"j'aurais bien aimé donner 5 étoiles mais y a malheureusement un petit problème lié à l'utilisation de la voix, notamment quand on dit nine ça écrit 9:00 et c'est noté comme incorrecte",4,0,5.115.4,2023-08-11 12:49:03,,,5.115.4
9332,1b1de10b-ff51-4e22-bb35-99d27b0d7295,Splashy Bwoy,https://play-lh.googleusercontent.com/a-/AD_cMMSuchdLSpCEPOs-sG-p2acisp8a5W1tEe-kqr2JtmHotJM,hi everyone I'm splashy. A Ghanaian learning Spanish. This is the best resource so far. Añade otro idioma a tu lengua. 👋 adiós(Bye),5,0,5.113.3,2023-08-11 12:48:52,,,5.113.3
9333,4460e169-fb62-46b2-9368-c9d166b333fa,IKkiv topic,https://play-lh.googleusercontent.com/a-/AD_cMMSb55eM50ubfgRSXuNi4zss2u67vbo4Ne9nW5jGyaqVEw,good,5,0,5.114.4,2023-08-11 12:48:49,,,5.114.4
9334,8b9699e8-81a8-49de-820e-0cb4f2adf6b7,Ali Bousbia,https://play-lh.googleusercontent.com/a-/AD_cMMSQSmqX_BanGkuOj6i3SyCVo5fgdhSaF27b5s5ywbBDRg,Good application,5,0,5.115.4,2023-08-11 12:47:54,,,5.115.4
9335,e9a87146-c925-49c2-94cb-53568ca79b8f,SANTHOSH RAJ,https://play-lh.googleusercontent.com/a-/AD_cMMQJ0wN1KsEbTapA2P_GucLDkrA041qmRbZ40zZcGavUaViK,"With recent update, The monetization model is so bad, it demotivates us to learn less..",1,0,5.115.4,2023-08-11 12:47:33,,,5.115.4
9336,f1ea7d12-0bb8-4fd1-9055-41d07d109e29,Master - x,https://play-lh.googleusercontent.com/a/AAcHTteMZIVUTbrsrZEvH30pkKwTWa_hZPnXayVUHVUPINJA=mo,wow,5,0,5.115.4,2023-08-11 12:47:33,,,5.115.4
9337,cf75c7c7-d27b-4aab-80fb-bca9e7cf69d5,Samina Rasheed,https://play-lh.googleusercontent.com/a/AAcHTtc58SFaLaOnM7rAmmsxFAQHt9zBE8aw8vEnRSXSCj19=mo,I love it and I learned a lot from it merhaba güle güle,5,0,5.114.4,2023-08-11 12:46:09,,,5.114.4
9338,53040734-c50f-4aff-91bd-0d9a28d2aba1,Apple Joy Beheng,https://play-lh.googleusercontent.com/a/AAcHTtfGRFtQuwb1cnuFOa96GVnwGaYGBtZp05S0CkQQNiJn=mo,Amazinggg!!!,5,0,5.115.4,2023-08-11 12:45:51,,,5.115.4
9339,3f95fc3c-9556-48a3-ac84-770d208ae63d,Nurullox Sobirov,https://play-lh.googleusercontent.com/a-/AD_cMMQmtvBH3qvTJ3Bf5Be4hcikcajZTlvaDa6r3LHuFH8PsA,cool,5,0,5.114.4,2023-08-11 12:45:35,,,5.114.4
9340,80fe6a88-95c4-4eeb-a6af-1d170605bcac,A1 FAN,https://play-lh.googleusercontent.com/a-/AD_cMMTmiPV66rtuPO1rQ_hFKLtDzTeiro5HO-NvmYGKomCa6A,nc,3,0,5.115.4,2023-08-11 12:44:18,,,5.115.4
9341,f4c0e849-570b-4b77-ac98-2a0ebe8b8642,Save etha,https://play-lh.googleusercontent.com/a-/AD_cMMQnoRgi-pkWUT4POfHlHN_UmLm2bicM0pGCgTbbLCX5W94,Good,5,0,5.111.6,2023-08-11 12:44:04,,,5.111.6
9342,8d8585eb-fdd4-4ac7-aad7-edf7dcb454fd,Tabrez Sk,https://play-lh.googleusercontent.com/a/AAcHTteGfiwby1pQQPvPzSuZTHqJHy3T2Vr4mDSK-N7LtbSS=mo,good app,5,0,5.114.3,2023-08-11 12:43:31,,,5.114.3
9343,23291889-4481-491a-83eb-d046a6889869,DONALD IYKE,https://play-lh.googleusercontent.com/a-/AD_cMMTS9He9tBqV-lMLTghuMLbk9mStaOQgy1pQSjXgcS4fU_o,Excellent Language App,5,0,5.114.4,2023-08-11 12:42:55,,,5.114.4
9344,062b5c74-2584-46d1-ad60-56f8214871c2,carrie putnam,https://play-lh.googleusercontent.com/a-/AD_cMMRkjMhWsZMNYWSX_byh4sqbVxEhLKVKdGQnGZz0Xj05xg,my 7yr an 11yr old love this ap,5,0,5.115.4,2023-08-11 12:42:50,,,5.115.4
9345,b5a33f66-cdbe-40f2-9919-e21d637aae81,mukesh rai,https://play-lh.googleusercontent.com/a/AAcHTtex4i0xerIpXvhlW_a3gBI0hiokSs_q5SbN3_tLPuD1=mo,owsm,5,0,5.111.4,2023-08-11 12:42:40,,,5.111.4
9346,0511fcc8-e2ed-4856-a20e-210d5618156f,Darshil Savsani,https://play-lh.googleusercontent.com/a/AAcHTtfBvVyWFDVxKdpVQWTMLAyrSOYTtq5i2XXmI57nvTOj=mo,this is very nice app,5,0,5.115.4,2023-08-11 12:42:38,,,5.115.4
9347,84b8fa7c-28e6-4b9c-adef-c5cf9d5cf3aa,Krisha Nirmal,https://play-lh.googleusercontent.com/a/AAcHTtcIBHCEM6BZBhGc3Gh7_owfse__wGARIKx-7O3JAw8R=mo,"wow, this app is soo good😊😊",5,0,5.115.4,2023-08-11 12:42:06,,,5.115.4
9348,4b06b372-2a17-467a-9ce5-695f7dae58a1,Supritha Shetty,https://play-lh.googleusercontent.com/a/AAcHTtdRd8ViqsEVqLimx4Wi36FZ7-iWAxJlS1jBveeK8uTb=mo,Duolingo is like a teacher for me an it just catch your mistakes an tries to improve it and there is no reason to improve them .,5,0,5.115.4,2023-08-11 12:41:42,,,5.115.4
9349,2f53616f-5cf8-42da-a94f-5520310c7e17,Neeraj Bhardu,https://play-lh.googleusercontent.com/a-/AD_cMMS4GPQ0EXxfS41xLYicEs7ZhXvN7n6O72ulDHp2XkxCIA,you are app is so dud,5,0,5.112.4,2023-08-11 12:41:23,,,5.112.4
9350,a61b1304-233a-4bf0-bcff-c0b903d78290,Komal Insan,https://play-lh.googleusercontent.com/a/AAcHTteOYN-cQsiyGSpqxmWb35UXg_qeCOwkayEXJzEeijeq=mo,nice,5,0,5.115.4,2023-08-11 12:41:22,,,5.115.4
9351,a0667af0-d990-4075-a98a-70c21f34dac5,Mohd Faisal,https://play-lh.googleusercontent.com/a-/AD_cMMQCvm4esYQ3pP1KxNREOTDXD7F3oapFVa0zhUsmH6hnbtw,This is a good app to learn english,5,0,5.115.4,2023-08-11 12:40:17,,,5.115.4
9352,a1c4967d-c9d4-4747-bbe4-ade35623fdbf,Paul Webster,https://play-lh.googleusercontent.com/a/AAcHTtcYA40MF7Cu7sv-fPx2TQtX3qSs6DScsU-HBWXd-4PC=mo,It's really good for going to different countrys and it helps you to correct the mistakes you make.,5,0,5.115.4,2023-08-11 12:40:12,,,5.115.4
9353,06e333b5-bace-45d2-80ef-b099a815db1d,circasmooth,https://play-lh.googleusercontent.com/a-/AD_cMMTlN0DKFRKc0uMm28YZpKa4Gj20PsWDRKKNc5e5A7NGU6g,"After one year of use, I have had the ""lesson path"" changed 4 times which is understandable as more resources become available. However instead of being guided through the updated words or phrases that have changed, it continues on and expects you to know all of the words that were introduced. I could understand if there were addendums to a section which need completion, but having a complete change to a basic phrase multiple times and it be assumed we know, what is going on or why, is absurd.",3,7,5.115.4,2023-08-11 12:39:54,,,5.115.4
9354,8a22e834-d610-4850-add4-01f1a943a053,Pokemaster Pokemon,https://play-lh.googleusercontent.com/a-/AD_cMMQ1p-ci2woaNocvUpSO99-syB5iOAPSrHZwWMbNgHQ-Iw,At first the app was amazing I am even learning Japanese it was good but after the update it is very bad . Now we should buy the premium pass to everything even to do a challenge at first everything was free and good but after the update it is disgusting 😡,1,1,5.111.6,2023-08-11 12:37:06,,,5.111.6
9355,0fcb18a4-bc3c-4206-9834-dd59ca06da2f,Hosein Mohseni,https://play-lh.googleusercontent.com/a/AAcHTtdrssL_i_2vQ6eb2SA6qeyz_87tJ88X0nPTaqeZFM93=mo,wunderbur,5,0,,2023-08-11 12:36:23,,,
9356,0a34d38d-d4ba-479a-9e90-5cd3c8ed7a8b,liladhar kurkure,https://play-lh.googleusercontent.com/a/AAcHTtfuKQo6w9COUH4Cfo_FEZ3hP0t71y3UvJ-lHydVrtrw=mo,Duolingo is the best app for language lerning..superb app,2,0,5.114.4,2023-08-11 12:36:13,,,5.114.4
9357,0c310915-6662-448c-a42c-154038b37c00,Saddam Qureshi,https://play-lh.googleusercontent.com/a/AAcHTtf9b2FyIBTFYrdnwB5ClVZSrwKoBDW5VDy2BF-x3eei=mo,great,5,0,5.115.4,2023-08-11 12:35:53,,,5.115.4
9358,42bfbaa1-9c70-4943-ac77-411c83e8c58e,Manpreet Kaur,https://play-lh.googleusercontent.com/a/AAcHTteJSg06EbLj4A9a1qvTS7PyVWaHo2xTLsx_mGXim-Jg=mo,this is a amazing app for learning English 👏,5,0,5.113.3,2023-08-11 12:35:08,,,5.113.3
9359,1c6b2067-fbb3-4c61-8c09-3e0762291ad3,Chandeshwar Ray,https://play-lh.googleusercontent.com/a/AAcHTtdOG4C8DjJmsvphhLt6Nrrya5VA_z2JfB79GJSklrq7=mo,very nice game filing,5,0,5.113.3,2023-08-11 12:34:55,,,5.113.3
9360,0e1e4fd2-6721-4124-b9b7-713ef3662a03,Katie Browder,https://play-lh.googleusercontent.com/a/AAcHTtes2sTbttUt_glz9qOoZ8yI8H3Q_xjexcXy9iGSoH2b=mo,So fun So easy,5,0,5.115.4,2023-08-11 12:34:54,,,5.115.4
9361,c3f4e8b6-257b-408b-9189-4328d6b60acc,Sagarika Mondal,https://play-lh.googleusercontent.com/a-/AD_cMMTkOMNGGwk9zJkEaCQlTqpCM2qbfSxjDuLNQ5DEMXT6,nice 👍 👍,5,0,5.115.4,2023-08-11 12:33:17,,,5.115.4
9362,9308ced8-aa86-4503-95e1-f1008eca878f,Sss Pltd,https://play-lh.googleusercontent.com/a/AAcHTteNlz0PeDD9D8IKfPVCyRHwCsgruZAduZ9MXC6cag5G=mo,wow nice app of play store,5,0,5.115.4,2023-08-11 12:32:31,,,5.115.4
9363,447c8b5b-093d-4663-ae1d-f8f05d77d7f3,Sumaiya Sultana,https://play-lh.googleusercontent.com/a/AAcHTte9JrdOSCyHTZzEDP9Mm5yf9PQVaxJ2jKiAfWX3JS1_=mo,that's app so helpful,3,0,5.114.4,2023-08-11 12:32:07,,,5.114.4
9364,f47a081e-bd58-49cd-8ad8-bf9823c6103a,Rishu Raj,https://play-lh.googleusercontent.com/a/AAcHTtd9bCHPM6KqnCZDQ1Zq99y5yiX4YSbfzO1Y1tHeUUdG=mo,This app is so good 👍,5,0,,2023-08-11 12:31:38,,,
9365,5a7e1913-3255-4f16-b062-56e9d6aaf879,Dalvir Singh,https://play-lh.googleusercontent.com/a/AAcHTtf9mnyIG1Ym9UGVT7x6ASKkSKNxx2_AgvWbumDxhk7c=mo,good 👍👍👍👍👍,5,0,5.113.3,2023-08-11 12:31:35,,,5.113.3
9366,f60c7f23-babc-4cd3-9657-ecfb08520138,Isah Lawan,https://play-lh.googleusercontent.com/a-/AD_cMMSeCiZgM7g6EAIKC-y1fQlhAFadmUtGmkEK1NqupvQvNEU,I really enjoy this app it is the best app of learning languages I have ever seen,5,0,5.111.4,2023-08-11 12:30:55,,,5.111.4
9367,188a2767-e386-4022-b34d-0effa939c6d9,Punitha Vathi,https://play-lh.googleusercontent.com/a/AAcHTteloff_-xVW0UBhcZebeufQ_-TB3XnZxB9DcDiy8YDP=mo,It is very helpful to learn a new language freely,4,0,5.113.3,2023-08-11 12:30:47,,,5.113.3
9368,bffee043-abb3-4153-9f97-1bd582dcc64e,Hendrik Efendi,https://play-lh.googleusercontent.com/a/AAcHTtd8jJnAdkPkcSRJD2a6JYczC5sM-Wux8bLNMNb2pB3paw=mo,great app for language learning,5,0,5.115.4,2023-08-11 12:30:35,,,5.115.4
9369,3bcfa74b-9604-4af8-bbc9-52cf7e2a7c01,shubham saroj,https://play-lh.googleusercontent.com/a-/AD_cMMQbRgo86ixEVGPDpVrgkzsfl_Xkqhw4n6qeNEqJ2X0U_w,nice learning point,5,0,5.114.4,2023-08-11 12:29:55,,,5.114.4
9370,dad5bb2b-fe62-40a4-81f1-f4137355942d,Divyanshu Chauhan,https://play-lh.googleusercontent.com/a-/AD_cMMSgLgVKJuHUQdxpayUYks1ED8b7E_IWcWDmj7tqPKy4QA,मैं दुख के साथ बोल रहा हूं कि मुझे Duolingo delete करना पड़ा क्युकी add बहुत ज्यादा आ रहा है इसलिए practice कम add ही ज्यादा आ रहा है।,1,1,5.72.3,2023-08-11 12:29:35,,,5.72.3
9371,e671a148-0f9d-4495-a0dc-d3a1d17a9ce7,Biswajit Mondal,https://play-lh.googleusercontent.com/a-/AD_cMMSrTBnZSPcbWZ03u13xlE55GhLvVsDQaDzjnRhQp5GXpg,awesome,5,0,5.115.4,2023-08-11 12:29:04,,,5.115.4
9372,d97a516b-0b4d-4e54-8206-23615732d107,Anthonia Nwaofor,https://play-lh.googleusercontent.com/a-/AD_cMMTKWukyAu_uKLYfMnmedv_dnyeHYGnNOIuyqTpb35j5WQ,this is d best language app ever 👌😁,5,0,5.113.3,2023-08-11 12:29:02,,,5.113.3
9373,013e8b2b-00d5-44d5-8366-a5da783647f5,Ankit ahir Official,https://play-lh.googleusercontent.com/a-/AD_cMMQB7PJNoE_gubAP85xmAVR8ivaWttoaxW8ERoJMy0iACg,nice,5,0,5.115.4,2023-08-11 12:28:55,,,5.115.4
